"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C13","Размер кнопок","Екатерина Лаврик","13.02.2021 15:05","","","Medium","","Графический интерфейс","1","","Master","S1","Other","Екатерина Лаврик","13.02.2021 15:05"
"C28","Копирование файлов разных типов размеров","Екатерина Лаврик","13.02.2021 15:11","","","Critical","","Функциональные тесты","1","","Master","S1","Other","Екатерина Лаврик","13.02.2021 15:47"
