sep=;
"ID";"Title";"Created By";"Created On";"Estimate";"Forecast";"Priority";"References";"Section";"Section Depth";"Section Description";"Section Hierarchy";"Steps";"Steps";"Steps (Expected Result)";"Steps (Step)";"Suite";"Suite ID";"Type";"Updated By";"Updated On"
"C13";"Размер кнопок";"Екатерина Лаврик";"13.02.2021 15:05";"";"";"Medium";"";"Графический интерфейс";"1";"";"Lavrik > Графический интерфейс";"1. Размер 1-ой кнопки 
Expected Result:
20x20 пик 
2. ![](index.php?/attachments/get/51)";"";"1. 20x20 пик 
2.";"1. Размер 1-ой кнопки 
2. ![](index.php?/attachments/get/51)";"Master";"S1";"Other";"Екатерина Лаврик";"13.02.2021 15:05"
"C28";"Копирование файлов разных типов размеров";"Екатерина Лаврик";"13.02.2021 15:11";"";"";"Critical";"";"Функциональные тесты";"1";"";"Lavrik > Функциональные тесты";"1. нажать на кнопку (найти и добавить список)
Expected Result:
откроется окно выбора файла 
открылось стандартное окно выбора файла 
2. перейти в папку с подготовленным файлом 
Expected Result:
перешла
3. выбрать файл
Expected Result:
ожидание: файл добавился в табличку hardload
4. выбор директории в которую будет выполняться копирование файлов 
Expected Result:
появление пути 
5. нажать на кнопку копирование файлов 
Expected Result:
файл скопирован и находится в папке назначения";"";"1. откроется окно выбора файла 
открылось стандартное окно выбора файла 
2. перешла
3. ожидание: файл добавился в табличку hardload
4. появление пути 
5. файл скопирован и находится в папке назначения";"1. нажать на кнопку (найти и добавить список)
2. перейти в папку с подготовленным файлом 
3. выбрать файл
4. выбор директории в которую будет выполняться копирование файлов 
5. нажать на кнопку копирование файлов";"Master";"S1";"Other";"Екатерина Лаврик";"13.02.2021 15:47"
